bw,loss,delay_c2_ms,udp_off_mean,iter,md5_hash_1,md5_hash_2,ttc1,ttc2,size1_bytes,size2_bytes,thr1_mbps,thr2_mbps,link_util,jfi 
100,0,5,None,0,67d9ea16a7ca6be5ba14a8def4dd8473,67d9ea16a7ca6be5ba14a8def4dd8473,8.520606,9.143945,32317690,32317690,30.343092,28.274613,0.586177,0.998756
200,0,5,None,0,67d9ea16a7ca6be5ba14a8def4dd8473,67d9ea16a7ca6be5ba14a8def4dd8473,7.941864,8.465812,32317690,32317690,32.554262,30.539481,0.315469,0.998981
300,0,5,None,0,67d9ea16a7ca6be5ba14a8def4dd8473,67d9ea16a7ca6be5ba14a8def4dd8473,10.372942,8.499243,32317690,32317690,24.924609,30.419358,0.184480,0.990239
400,0,5,None,0,67d9ea16a7ca6be5ba14a8def4dd8473,67d9ea16a7ca6be5ba14a8def4dd8473,10.509345,10.392637,32317690,32317690,24.601108,24.877374,0.123696,0.999969
500,0,5,None,0,67d9ea16a7ca6be5ba14a8def4dd8473,67d9ea16a7ca6be5ba14a8def4dd8473,9.483644,12.465310,32317690,32317690,27.261832,20.740882,0.096005,0.981880
600,0,5,None,0,67d9ea16a7ca6be5ba14a8def4dd8473,67d9ea16a7ca6be5ba14a8def4dd8473,11.460748,11.320649,32317690,32317690,22.558870,22.838048,0.075662,0.999962
700,0,5,None,0,67d9ea16a7ca6be5ba14a8def4dd8473,67d9ea16a7ca6be5ba14a8def4dd8473,11.570200,13.989867,32317690,32317690,22.345466,18.480627,0.058323,0.991118
800,0,5,None,0,67d9ea16a7ca6be5ba14a8def4dd8473,67d9ea16a7ca6be5ba14a8def4dd8473,12.453636,11.415367,32317690,32317690,20.760323,22.648551,0.054261,0.998111
900,0,5,None,0,67d9ea16a7ca6be5ba14a8def4dd8473,67d9ea16a7ca6be5ba14a8def4dd8473,12.421601,11.396326,32317690,32317690,20.813865,22.686392,0.048334,0.998150
1000,0,5,None,0,67d9ea16a7ca6be5ba14a8def4dd8473,67d9ea16a7ca6be5ba14a8def4dd8473,13.381174,13.817990,32317690,32317690,19.321289,18.710501,0.038032,0.999742
